year,area_km2,band,class,class_name
2000,361249.22473701276,classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000,78,Natural
2001,361143.7041348804,classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001,78,Natural
2002,361142.73611987015,classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002,78,Natural
2003,360927.8147654284,classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003,78,Natural
2004,360649.14459779096,classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004,78,Natural
2005,360305.77494435455,classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005,78,Natural
2006,360139.64667352615,classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006,78,Natural
2007,360163.15724136535,classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007,78,Natural
2008,360078.6019386167,classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008,78,Natural
2009,359804.4212868472,classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009,78,Natural
2010,359824.3513421006,classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010,78,Natural
2011,359948.36807725247,classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011,78,Natural
2012,360076.0629346748,classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012,78,Natural
2013,359857.78067777306,classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013,78,Natural
2014,359638.31643434823,classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014,78,Natural
2015,359401.4856883742,classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015,78,Natural
2016,359246.6526029125,classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016,78,Natural
2017,359199.72252915485,classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017,78,Natural
2018,359308.1773465277,classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018,78,Natural
2019,359450.6845045674,classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019,78,Natural
2020,359331.573372241,classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020,78,Natural
2021,359279.9117597301,classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021,78,Natural
2022,358938.752780104,classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022,78,Natural
2023,358440.7108996752,classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023,78,Natural
2000,5315.676244996568,classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000,164,Non-natural
2001,5421.196847128337,classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001,164,Non-natural
2002,5422.1648621378845,classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002,184,Non-natural
2003,5637.086216580568,classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003,184,Non-natural
2004,5915.756384220208,classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004,184,Non-natural
2005,6259.126037656456,classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005,184,Non-natural
2006,6425.254308484544,classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006,184,Non-natural
2007,6401.743740644672,classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007,184,Non-natural
2008,6486.299043394131,classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008,184,Non-natural
2009,6760.479695164494,classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009,184,Non-natural
2010,6740.5496399113645,classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010,184,Non-natural
2011,6616.532904759428,classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011,184,Non-natural
2012,6488.838047337202,classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012,184,Non-natural
2013,6707.120304239394,classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013,184,Non-natural
2014,6926.58454766408,classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014,184,Non-natural
2015,7163.415293638486,classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015,184,Non-natural
2016,7318.248379100486,classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016,223,Non-natural
2017,7365.178452857384,classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017,223,Non-natural
2018,7256.723635484569,classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018,184,Non-natural
2019,7114.216477444939,classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019,223,Non-natural
2020,7233.3276097720445,classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020,223,Non-natural
2021,7284.989222283048,classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021,223,Non-natural
2022,7626.148201908199,classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022,223,Non-natural
2023,8124.190082337413,classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023,223,Non-natural
