"","mean_SPM","area_km2","mean_precipitation","mean_discharge","mean_u__wind","mean_v__wind","anthropic_km2","max_SPM","min_SPM"
"mean_SPM",1,-0.883994528043776,-0.290381621774612,-0.833784612481721,0.17130780604266,0.288256244625787,-0.15006239087755,0.773528400185684,0.735155660490323
"area_km2",-0.883994528043776,1,0.195056370583518,0.84099249964621,-0.155296937129602,-0.123725735345877,0.215862827579757,-0.751688413983847,-0.652610342997915
"mean_precipitation",-0.290381621774612,0.195056370583518,1,0.340478324449266,0.21257565555693,-0.324315399764718,-0.0632224345179787,-0.448441938903584,-0.465688917113711
"mean_discharge",-0.833784612481721,0.84099249964621,0.340478324449266,1,-0.078139078572744,-0.226082034169074,0.16643695420155,-0.715221029615966,-0.745022951359639
"mean_u__wind",0.17130780604266,-0.155296937129602,0.21257565555693,-0.078139078572744,1,-0.0523502660771772,-0.123617147859489,0.134233021566134,0.0708822619044156
"mean_v__wind",0.288256244625787,-0.123725735345877,-0.324315399764718,-0.226082034169074,-0.0523502660771772,1,-0.113245902528581,0.0971988978213745,0.218846565447623
"anthropic_km2",-0.15006239087755,0.215862827579757,-0.0632224345179787,0.16643695420155,-0.123617147859489,-0.113245902528581,1,-0.00770608492129416,-0.0219929778357634
"max_SPM",0.773528400185684,-0.751688413983847,-0.448441938903584,-0.715221029615966,0.134233021566134,0.0971988978213745,-0.00770608492129416,1,0.587450684869747
"min_SPM",0.735155660490323,-0.652610342997915,-0.465688917113711,-0.745022951359639,0.0708822619044156,0.218846565447623,-0.0219929778357634,0.587450684869747,1
