,Data,type,day,month,year,longitude,latitude
0,2000-01-13 10:43:38.181818240,LW_to_R,13,1,2000,-55.5131,-1.9192
1,2000-02-29 18:17:42.295081984,R_to_HW,29,2,2000,-55.5131,-1.9192
2,2000-08-24 20:45:42.857142784,HW_to_F,24,8,2000,-55.5131,-1.9192
3,2000-09-28 10:23:44.598930432,F_to_LW,28,9,2000,-55.5131,-1.9192
4,2001-01-05 16:27:54.418604672,LW_to_R,5,1,2001,-55.5131,-1.9192
5,2001-02-14 03:32:52.173913088,R_to_HW,14,2,2001,-55.5131,-1.9192
6,2001-08-05 00:08:05.393258496,HW_to_F,5,8,2001,-55.5131,-1.9192
7,2001-09-07 08:06:45.633802752,F_to_LW,7,9,2001,-55.5131,-1.9192
8,2001-12-27 03:51:48.292683008,LW_to_R,27,12,2001,-55.5131,-1.9192
9,2002-02-26 08:00:00.000000000,R_to_HW,26,2,2002,-55.5131,-1.9192
10,2002-08-19 03:22:40.000000000,HW_to_F,19,8,2002,-55.5131,-1.9192
11,2002-09-18 22:12:26.887966848,F_to_LW,18,9,2002,-55.5131,-1.9192
12,2002-12-31 02:07:03.529411712,LW_to_R,31,12,2002,-55.5131,-1.9192
13,2003-03-14 15:37:58.899082624,R_to_HW,14,3,2003,-55.5131,-1.9192
14,2003-08-12 19:25:42.857142784,HW_to_F,12,8,2003,-55.5131,-1.9192
15,2003-09-18 02:28:02.242990592,F_to_LW,18,9,2003,-55.5131,-1.9192
16,2004-01-12 02:48:49.655172352,LW_to_R,12,1,2004,-55.5131,-1.9192
17,2004-03-08 10:15:00.000000000,R_to_HW,8,3,2004,-55.5131,-1.9192
18,2004-07-19 10:22:42.162162048,HW_to_F,19,7,2004,-55.5131,-1.9192
19,2004-09-10 04:00:00.000000000,F_to_LW,10,9,2004,-55.5131,-1.9192
20,2005-01-08 02:18:47.710843392,LW_to_R,8,1,2005,-55.5131,-1.9192
21,2005-02-24 12:08:53.333333376,R_to_HW,24,2,2005,-55.5131,-1.9192
22,2005-07-13 09:36:00.000000000,HW_to_F,13,7,2005,-55.5131,-1.9192
23,2005-08-12 17:26:17.528089856,F_to_LW,12,8,2005,-55.5131,-1.9192
24,2005-12-23 22:38:38.644067840,LW_to_R,23,12,2005,-55.5131,-1.9192
25,2006-02-02 13:37:55.200000000,R_to_HW,2,2,2006,-55.5131,-1.9192
26,2006-08-03 00:56:50.526315776,HW_to_F,3,8,2006,-55.5131,-1.9192
27,2006-08-30 05:34:44.210526208,F_to_LW,30,8,2006,-55.5131,-1.9192
28,2006-12-23 04:12:15.766423296,LW_to_R,23,12,2006,-55.5131,-1.9192
29,2007-02-24 15:00:00.000000000,R_to_HW,24,2,2007,-55.5131,-1.9192
30,2007-08-06 12:43:56.619718144,HW_to_F,6,8,2007,-55.5131,-1.9192
31,2007-09-04 10:56:57.511520768,F_to_LW,4,9,2007,-55.5131,-1.9192
32,2007-12-19 16:18:27.692307712,LW_to_R,19,12,2007,-55.5131,-1.9192
33,2008-01-30 07:13:58.356164352,R_to_HW,30,1,2008,-55.5131,-1.9192
34,2008-08-07 16:57:41.538461440,HW_to_F,7,8,2008,-55.5131,-1.9192
35,2008-09-06 19:28:35.183246080,F_to_LW,6,9,2008,-55.5131,-1.9192
36,2008-12-11 20:52:59.220779264,LW_to_R,11,12,2008,-55.5131,-1.9192
37,2009-01-21 22:42:09.729729792,R_to_HW,21,1,2009,-55.5131,-1.9192
38,2009-08-29 16:05:32.947976960,HW_to_F,29,8,2009,-55.5131,-1.9192
39,2009-09-19 22:51:53.513513728,F_to_LW,19,9,2009,-55.5131,-1.9192
40,2010-01-02 12:53:33.223140352,LW_to_R,2,1,2010,-55.5131,-1.9192
41,2010-03-07 11:53:08.571428352,R_to_HW,7,3,2010,-55.5131,-1.9192
42,2010-07-24 08:57:08.571428608,HW_to_F,24,7,2010,-55.5131,-1.9192
43,2010-08-20 02:53:25.839416064,F_to_LW,20,8,2010,-55.5131,-1.9192
44,2011-01-17 15:57:13.526011648,LW_to_R,17,1,2011,-55.5131,-1.9192
45,2011-02-23 13:12:28.993288448,R_to_HW,23,2,2011,-55.5131,-1.9192
46,2011-08-07 03:02:08.063241216,HW_to_F,7,8,2011,-55.5131,-1.9192
47,2011-08-31 15:10:40.316205568,F_to_LW,31,8,2011,-55.5131,-1.9192
48,2011-12-26 14:05:42.857142784,LW_to_R,26,12,2011,-55.5131,-1.9192
49,2012-01-26 21:14:24.000000000,R_to_HW,26,1,2012,-55.5131,-1.9192
50,2012-08-11 01:48:00.000000000,HW_to_F,11,8,2012,-55.5131,-1.9192
51,2012-09-05 08:49:39.310344704,F_to_LW,5,9,2012,-55.5131,-1.9192
52,2013-01-08 21:00:58.378378496,LW_to_R,8,1,2013,-55.5131,-1.9192
53,2013-02-12 01:22:32.866242048,R_to_HW,12,2,2013,-55.5131,-1.9192
54,2013-08-20 19:00:55.384615424,HW_to_F,20,8,2013,-55.5131,-1.9192
55,2013-09-24 21:45:00.000000000,F_to_LW,24,9,2013,-55.5131,-1.9192
56,2013-12-05 14:13:20.000000000,LW_to_R,5,12,2013,-55.5131,-1.9192
57,2014-02-02 01:27:16.363636480,R_to_HW,2,2,2014,-55.5131,-1.9192
58,2014-09-02 08:00:00.000000000,HW_to_F,2,9,2014,-55.5131,-1.9192
59,2014-09-29 00:00:00.000000000,F_to_LW,29,9,2014,-55.5131,-1.9192
60,2014-12-18 14:43:38.181818112,LW_to_R,18,12,2014,-55.5131,-1.9192
61,2015-02-10 08:00:00.000000000,R_to_HW,10,2,2015,-55.5131,-1.9192
62,2015-09-02 11:46:35.031055872,HW_to_F,2,9,2015,-55.5131,-1.9192
63,2015-09-21 02:58:52.919254528,F_to_LW,21,9,2015,-55.5131,-1.9192
64,2016-02-23 20:46:09.230769152,LW_to_R,23,2,2016,-55.5131,-1.9192
65,2016-04-02 08:14:19.701492480,R_to_HW,2,4,2016,-55.5131,-1.9192
66,2016-07-20 23:41:03.157894656,HW_to_F,20,7,2016,-55.5131,-1.9192
67,2016-09-02 10:36:55.384615168,F_to_LW,2,9,2016,-55.5131,-1.9192
68,2017-01-01 00:00:00.000000000,LW_to_R,1,1,2017,-55.5131,-1.9192
69,2017-02-01 20:31:08.702290176,R_to_HW,1,2,2017,-55.5131,-1.9192
70,2017-08-03 19:22:52.075471872,HW_to_F,3,8,2017,-55.5131,-1.9192
71,2017-08-27 04:53:26.037735936,F_to_LW,27,8,2017,-55.5131,-1.9192
72,2017-12-31 01:06:27.692307712,LW_to_R,31,12,2017,-55.5131,-1.9192
73,2018-02-17 19:12:00.000000000,R_to_HW,17,2,2018,-55.5131,-1.9192
74,2018-08-15 00:42:02.627737344,HW_to_F,15,8,2018,-55.5131,-1.9192
75,2018-09-16 07:20:48.979591680,F_to_LW,16,9,2018,-55.5131,-1.9192
76,2018-12-09 19:57:12.558139648,LW_to_R,9,12,2018,-55.5131,-1.9192
77,2019-01-23 22:50:46.153846272,R_to_HW,23,1,2019,-55.5131,-1.9192
78,2019-08-22 14:24:00.000000000,HW_to_F,22,8,2019,-55.5131,-1.9192
79,2019-09-18 03:02:41.194029824,F_to_LW,18,9,2019,-55.5131,-1.9192
80,2019-12-07 06:44:42.352941312,LW_to_R,7,12,2019,-55.5131,-1.9192
81,2020-02-07 14:10:54.545454592,R_to_HW,7,2,2020,-55.5131,-1.9192
82,2020-08-08 07:40:00.000000000,HW_to_F,8,8,2020,-55.5131,-1.9192
83,2020-09-04 21:40:49.070631936,F_to_LW,4,9,2020,-55.5131,-1.9192
84,2020-12-23 19:40:00.000000000,LW_to_R,23,12,2020,-55.5131,-1.9192
85,2021-01-27 13:04:40.239520768,R_to_HW,27,1,2021,-55.5131,-1.9192
86,2021-08-30 14:24:00.000000000,HW_to_F,30,8,2021,-55.5131,-1.9192
87,2021-09-26 14:52:02.123893760,F_to_LW,26,9,2021,-55.5131,-1.9192
88,2021-11-22 07:26:53.793103616,LW_to_R,22,11,2021,-55.5131,-1.9192
89,2022-01-01 00:00:00.000000000,R_to_HW,1,1,2022,-55.5131,-1.9192
90,2022-08-24 16:23:51.055900672,HW_to_F,24,8,2022,-55.5131,-1.9192
91,2022-09-16 15:02:53.633440512,F_to_LW,16,9,2022,-55.5131,-1.9192
92,2023-01-09 03:04:23.414634240,LW_to_R,9,1,2023,-55.5131,-1.9192
93,2023-02-15 08:43:38.181818112,R_to_HW,15,2,2023,-55.5131,-1.9192
94,2023-08-01 20:06:29.189189120,HW_to_F,1,8,2023,-55.5131,-1.9192
95,2023-08-25 18:37:31.737451520,F_to_LW,25,8,2023,-55.5131,-1.9192
96,2024-01-26 18:57:28.739495680,LW_to_R,26,1,2024,-55.5131,-1.9192
97,2024-03-25 23:32:02.330097152,R_to_HW,25,3,2024,-55.5131,-1.9192
98,2024-04-06 10:42:51.428571648,HW_to_F,6,4,2024,-55.5131,-1.9192
99,2024-05-30 21:51:25.714285824,F_to_L,30,5,2024,-55.5131,-1.9192
